Country,Trade,Value_USD,Month,Year
Argentina,Export,21774777,1,2015
Argentina,Import,115446756,1,2015
Argentina,Export,21229715,2,2015
Argentina,Import,107058752,2,2015
Argentina,Export,16769612,3,2015
Argentina,Import,169265511,3,2015
Argentina,Export,20263723,4,2015
Argentina,Import,160191343,4,2015
Argentina,Export,27356817,5,2015
Argentina,Import,265610080,5,2015
Argentina,Export,20655026,6,2015
Argentina,Import,200695047,6,2015
Argentina,Export,45326881,7,2015
Argentina,Import,198267287,7,2015
Argentina,Export,61349525,8,2015
Argentina,Import,283920482,8,2015
Argentina,Export,41968522,9,2015
Argentina,Import,186808380,9,2015
Argentina,Export,26952561,10,2015
Argentina,Import,152115929,10,2015
Argentina,Export,41914751,11,2015
Argentina,Import,135410556,11,2015
Argentina,Export,37618152,12,2015
Argentina,Import,171641282,12,2015
Australia,Export,233618065,1,2015
Australia,Import,182868181,1,2015
Australia,Export,218141814,2,2015
Australia,Import,90972624,2,2015
Australia,Export,272683384,3,2015
Australia,Import,202236086,3,2015
Australia,Export,264961213,4,2015
Australia,Import,126277905,4,2015
Australia,Export,245907700,5,2015
Australia,Import,158386855,5,2015
Australia,Export,270425275,6,2015
Australia,Import,212839408,6,2015
Australia,Export,194246452,7,2015
Australia,Import,158827135,7,2015
Australia,Export,269369049,8,2015
Australia,Import,186602363,8,2015
Australia,Export,214192975,9,2015
Australia,Import,232577640,9,2015
Australia,Export,226364203,10,2015
Australia,Import,154740626,10,2015
Australia,Export,232632309,11,2015
Australia,Import,148602345,11,2015
Australia,Export,203967509,12,2015
Australia,Import,144140869,12,2015
Belarus,Export,0,1,2015
Belarus,Import,2461565,1,2015
Belarus,Export,0,2,2015
Belarus,Import,12582850,2,2015
Belarus,Export,0,3,2015
Belarus,Import,22686502,3,2015
Belarus,Export,0,4,2015
Belarus,Import,16104999,4,2015
Belarus,Export,0,5,2015
Belarus,Import,3897326,5,2015
Belarus,Export,0,6,2015
Belarus,Import,21182132,6,2015
Belarus,Export,0,7,2015
Belarus,Import,2665915,7,2015
Belarus,Export,0,8,2015
Belarus,Import,2749074,8,2015
Belarus,Export,0,9,2015
Belarus,Import,589578,9,2015
Belarus,Export,0,10,2015
Belarus,Import,22333111,10,2015
Belarus,Export,0,11,2015
Belarus,Import,1449323,11,2015
Belarus,Export,48839090,12,2015
Belarus,Import,11474262,12,2015
Belgium,Export,153445490,1,2015
Belgium,Import,32717821,1,2015
Belgium,Export,108780811,2,2015
Belgium,Import,24957642,2,2015
Belgium,Export,118258330,3,2015
Belgium,Import,36932728,3,2015
Belgium,Export,148740038,4,2015
Belgium,Import,31677431,4,2015
Belgium,Export,174493424,5,2015
Belgium,Import,35456212,5,2015
Belgium,Export,171318034,6,2015
Belgium,Import,80558947,6,2015
Belgium,Export,157196213,7,2015
Belgium,Import,45791015,7,2015
Belgium,Export,139965472,8,2015
Belgium,Import,41493429,8,2015
Belgium,Export,117168905,9,2015
Belgium,Import,38836562,9,2015
Belgium,Export,154881270,10,2015
Belgium,Import,41584665,10,2015
Belgium,Export,167575936,11,2015
Belgium,Import,42471005,11,2015
Belgium,Export,184572640,12,2015
Belgium,Import,46442504,12,2015
Brazil,Export,141176116,1,2015
Brazil,Import,246419042,1,2015
Brazil,Export,116240194,2,2015
Brazil,Import,143360487,2,2015
Brazil,Export,172958730,3,2015
Brazil,Import,204091319,3,2015
Brazil,Export,162160972,4,2015
Brazil,Import,153982942,4,2015
Brazil,Export,109723268,5,2015
Brazil,Import,131865489,5,2015
Brazil,Export,76346257,6,2015
Brazil,Import,122122633,6,2015
Brazil,Export,112868129,7,2015
Brazil,Import,129870372,7,2015
Brazil,Export,124081849,8,2015
Brazil,Import,187709304,8,2015
Brazil,Export,131896272,9,2015
Brazil,Import,274846431,9,2015
Brazil,Export,108615117,10,2015
Brazil,Import,194977594,10,2015
Brazil,Export,95438741,11,2015
Brazil,Import,307557903,11,2015
Brazil,Export,89776323,12,2015
Brazil,Import,315846065,12,2015
Brunei,Export,1043384,1,2015
Brunei,Import,0,1,2015
Brunei,Export,1019670,2,2015
Brunei,Import,588890,2,2015
Brunei,Export,3138355,3,2015
Brunei,Import,1083330,3,2015
Brunei,Export,2203404,4,2015
Brunei,Import,0,4,2015
Brunei,Export,860406,5,2015
Brunei,Import,67479,5,2015
Brunei,Export,2966692,6,2015
Brunei,Import,43200315,6,2015
Brunei,Export,985228,7,2015
Brunei,Import,2100866,7,2015
Brunei,Export,1287718,8,2015
Brunei,Import,1074268,8,2015
Brunei,Export,6757003,9,2015
Brunei,Import,1948595,9,2015
Brunei,Export,3173866,10,2015
Brunei,Import,2056226,10,2015
Brunei,Export,953734,11,2015
Brunei,Import,0,11,2015
Brunei,Export,1447389,12,2015
Brunei,Import,277886,12,2015
Bungaria,Export,3152105,1,2015
Bungaria,Import,2382957,1,2015
Bungaria,Export,2570830,2,2015
Bungaria,Import,1821275,2,2015
Bungaria,Export,4011503,3,2015
Bungaria,Import,5265519,3,2015
Bungaria,Export,3403048,4,2015
Bungaria,Import,3844414,4,2015
Bungaria,Export,2908559,5,2015
Bungaria,Import,2783674,5,2015
Bungaria,Export,2902222,6,2015
Bungaria,Import,3367591,6,2015
Bungaria,Export,3132500,7,2015
Bungaria,Import,3103122,7,2015
Bungaria,Export,4219160,8,2015
Bungaria,Import,3465200,8,2015
Bungaria,Export,2972623,9,2015
Bungaria,Import,13793117,9,2015
Bungaria,Export,4166615,10,2015
Bungaria,Import,3517662,10,2015
Bungaria,Export,3851903,11,2015
Bungaria,Import,14701529,11,2015
Bungaria,Export,3810450,12,2015
Bungaria,Import,4189599,12,2015
Cambodia,Export,205626404,1,2015
Cambodia,Import,85417738,1,2015
Cambodia,Export,166973519,2,2015
Cambodia,Import,84373028,2,2015
Cambodia,Export,240199088,3,2015
Cambodia,Import,168046569,3,2015
Cambodia,Export,199509842,4,2015
Cambodia,Import,95457434,4,2015
Cambodia,Export,203765557,5,2015
Cambodia,Import,53326120,5,2015
Cambodia,Export,218650112,6,2015
Cambodia,Import,51732207,6,2015
Cambodia,Export,212848171,7,2015
Cambodia,Import,63145413,7,2015
Cambodia,Export,203553616,8,2015
Cambodia,Import,46659035,8,2015
Cambodia,Export,203103339,9,2015
Cambodia,Import,61459024,9,2015
Cambodia,Export,181862055,10,2015
Cambodia,Import,56964321,10,2015
Cambodia,Export,188853336,11,2015
Cambodia,Import,86384000,11,2015
Cambodia,Export,196756363,12,2015
Cambodia,Import,115531907,12,2015
Cameroon,Export,0,1,2015
Cameroon,Import,22955513,1,2015
Cameroon,Export,0,2,2015
Cameroon,Import,8551769,2,2015
Cameroon,Export,0,3,2015
Cameroon,Import,11887442,3,2015
Cameroon,Export,0,4,2015
Cameroon,Import,11847674,4,2015
Cameroon,Export,0,5,2015
Cameroon,Import,5484090,5,2015
Cameroon,Export,0,6,2015
Cameroon,Import,21127883,6,2015
