Group/Country,Item,Month,Year,Value_USD
ASEAN,Animal fodder and materials,1,2015,23394751
ASEAN,"Aromatic substance, cosmetic and cleaning preparations",1,2015,31182639
ASEAN,Articles of iron and steel,1,2015,27064850
ASEAN,Articles of plastics,1,2015,30789602
ASEAN,Articles of rubber,1,2015,9525000
ASEAN,Auxiliary materials for cigarettes,1,2015,2743208
ASEAN,Auxiliary materials for medicaments,1,2015,973083
ASEAN,"Auxiliary materials for textile, garment, leather, footwear",1,2015,19709517
ASEAN,Cameras and their parts,1,2015,574741
ASEAN,Cashew nut,1,2015,18778262
ASEAN,Chemical products,1,2015,47697097
ASEAN,Chemicals,1,2015,58638883
ASEAN,Coal,1,2015,6042846
ASEAN,"Computers, Electronical products & parts",1,2015,438216377
ASEAN,Cotton,1,2015,206011
ASEAN,Dairy products,1,2015,25096981
ASEAN,Dau tho,1,2015,0
ASEAN,Domestic electrical appliances and parts,1,2015,74824884
ASEAN,Electrical wire and cable,1,2015,12102915
ASEAN,Fertilizers,1,2015,6101917
ASEAN,"Fibres, not spun",1,2015,18871527
ASEAN,Fishery products,1,2015,6154035
ASEAN,Fresh and pocessed vegetables and fruit,1,2015,18349477
ASEAN,Glass and glassware,1,2015,6083079
ASEAN,Insecticides and materials,1,2015,9296138
ASEAN,"Iron, Steel",1,2015,11586868
ASEAN,Liquefied petroleum gas,1,2015,2537633
ASEAN,Maize,1,2015,4600258
ASEAN,"Motor vehicles, assembled",1,2015,15728516
ASEAN,Ores and other minerals,1,2015,10246015
ASEAN,"Other Machinery, instrument, accessory",1,2015,144619928
ASEAN,Other Preparations for Foodstuff,1,2015,18322127
ASEAN,Other base metal products,1,2015,16288762
ASEAN,Other base metals,1,2015,36059602
ASEAN,Other means of transort and equipment,1,2015,1809386
ASEAN,Other petroleum products,1,2015,66610066
ASEAN,Paper,1,2015,52586269
ASEAN,Paper products,1,2015,7461429
ASEAN,Parts and accessories for motor,1,2015,59657430
ASEAN,"Petroleum oil, refined",1,2015,198181729
ASEAN,Pharmaceutical products,1,2015,9573293
ASEAN,Plastic materials,1,2015,95501005
ASEAN,"Precious stones, precious metals and their products",1,2015,377872
ASEAN,Rubber,1,2015,14022233
ASEAN,"Sweets, cookies and cereal preparations",1,2015,13577359
ASEAN,Textile fibrics,1,2015,28788897
ASEAN,Vegetable oil and fat,1,2015,33020192
ASEAN,Waste iron and steel,1,2015,2357533
ASEAN,Wood and wooden products,1,2015,67988605
ASEAN,Animal fodder and materials,2,2015,12279607
ASEAN,"Aromatic substance, cosmetic and cleaning preparations",2,2015,18308697
ASEAN,Articles of iron and steel,2,2015,20581271
ASEAN,Articles of plastics,2,2015,20571765
ASEAN,Articles of rubber,2,2015,8491585
ASEAN,Auxiliary materials for cigarettes,2,2015,2180879
ASEAN,Auxiliary materials for medicaments,2,2015,371723
ASEAN,"Auxiliary materials for textile, garment, leather, footwear",2,2015,18873803
ASEAN,Cameras and their parts,2,2015,137066
ASEAN,Cashew nut,2,2015,13518511
ASEAN,Chemical products,2,2015,32026000
ASEAN,Chemicals,2,2015,32456328
ASEAN,Coal,2,2015,11056834
ASEAN,"Computers, Electronical products & parts",2,2015,294689238
ASEAN,Cotton,2,2015,241522
ASEAN,Dairy products,2,2015,14555337
ASEAN,Dau tho,2,2015,0
ASEAN,Domestic electrical appliances and parts,2,2015,53425274
ASEAN,Electrical wire and cable,2,2015,10988494
ASEAN,Fertilizers,2,2015,2222844
ASEAN,"Fibres, not spun",2,2015,10803812
ASEAN,Fishery products,2,2015,3729949
ASEAN,Fresh and pocessed vegetables and fruit,2,2015,7583661
ASEAN,Glass and glassware,2,2015,4351784
ASEAN,Insecticides and materials,2,2015,10866953
ASEAN,"Iron, Steel",2,2015,11125273
ASEAN,Liquefied petroleum gas,2,2015,618832
ASEAN,Maize,2,2015,2108615
ASEAN,"Motor vehicles, assembled",2,2015,18239119
ASEAN,Ores and other minerals,2,2015,8856078
ASEAN,"Other Machinery, instrument, accessory",2,2015,100264842
ASEAN,Other Preparations for Foodstuff,2,2015,12955869
ASEAN,Other base metal products,2,2015,8895178
ASEAN,Other base metals,2,2015,22454967
ASEAN,Other means of transort and equipment,2,2015,4447808
ASEAN,Other petroleum products,2,2015,34284923
ASEAN,Paper,2,2015,29807510
ASEAN,Paper products,2,2015,7171358
ASEAN,Parts and accessories for motor,2,2015,40080289
ASEAN,"Petroleum oil, refined",2,2015,215271125
ASEAN,Pharmaceutical products,2,2015,8285874
ASEAN,Plastic materials,2,2015,65443083
ASEAN,"Precious stones, precious metals and their products",2,2015,375152
ASEAN,Rubber,2,2015,9961856
ASEAN,"Sweets, cookies and cereal preparations",2,2015,6745002
ASEAN,Textile fibrics,2,2015,17518924
ASEAN,Vegetable oil and fat,2,2015,33429456
ASEAN,Waste iron and steel,2,2015,320657
ASEAN,Wood and wooden products,2,2015,65958738
ASEAN,Animal fodder and materials,3,2015,23465250
ASEAN,"Aromatic substance, cosmetic and cleaning preparations",3,2015,31543640
ASEAN,Articles of iron and steel,3,2015,31985863
ASEAN,Articles of plastics,3,2015,30432682
ASEAN,Articles of rubber,3,2015,10982879
